name,vlahakis,williams
Josh Allen,50,100
Jayden Daniels,80,
Lamar Jackson,50,
Jalen Hurts,55,
Drake Maye,10,
Jaxson Dart,60,
Dak Prescott,30,
Brock Purdy,40,
Joe Burrow,50,
Matthew Stafford,70,
Patrick Mahomes,60,
Bo Nix,50,
Trevor Lawrence,40,
Caleb Williams,30,
Jared Goff,50,
Kyler Murray,30,
Daniel Jones,60,
Justin Herbert,20,
Baker Mayfield,50,
Jordan Love,40,
Sam Darnold,70,
Aaron Rodgers,40,
Malik Willis,40,
Tyler Shough,30,
C.J. Stroud,70,
Bryce Young,70,
Cam Ward,40,
Geno Smith,80,
Jacoby Brissett,40,
Fernando Mendoza,50,
Michael Penix Jr.,70,
Tua Tagovailoa,50,
Deshaun Watson,50,
Shedeur Sanders,50,
Kirk Cousins,50,
Gardner Minshew II,50,
Cade Klubnik,50,
Andy Dalton,50,
Anthony Richardson Sr.,50,
Davis Mills,50,
Drew Lock,50,
J.J. McCarthy,50,
Jake Browning,50,
Jameis Winston,50,
Jarrett Stidham,50,
Joe Flacco,50,
Joe Milton III,50,
Justin Fields,50,
Kenny Pickett,50,
Kyle Allen,50,
Mac Jones,50,
Marcus Mariota,50,
Mason Rudolph,50,
Mitchell Trubisky,50,
Nick Mullens,50,
Quinn Ewers,50,
Spencer Rattler,50,
Teddy Bridgewater,50,
Tommy DeVito,50,
Trey Lance,50,
Ty Simpson,50,
Tyler Huntley,50,
Tyrod Taylor,50,
Tyson Bagent,50,
