name,vlahakis,williams
Trey McBride,70,
Brock Bowers,20,
Colston Loveland,20,
Kyle Pitts,60,
Harold Fannin Jr.,50,
Travis Kelce,80,
Tyler Warren,60,
Sam LaPorta,60,
George Kittle,50,
Tucker Kraft,30,
Juwan Johnson,60,
Dalton Schultz,90,
Dallas Goedert,80,
Hunter Henry,70,
Kenyon Sadiq,50,
Dalton Kincaid,30,
Brenton Strange,20,
T.J. Hockenson,70,
Oronde Gadsden II,70,
Mark Andrews,20,
AJ Barner,50,
Jake Ferguson,70,
Chig Okonkwo,40,
Cade Otton,50,
Isaiah Likely,20,
Evan Engram,70,
Pat Freiermuth,50,
Greg Dulcich,30,
Mike Gesicki,50,
Colby Parkinson,50,
Gunnar Helm,0,
David Njoku,20,
Theo Johnson,30,
Ja'Tavion Sanders,50,
Tommy Tremble,50,
Darnell Washington,30,
Dawson Knox,40,
Tyler Higbee,50,
Michael Mayer,30,
Mason Taylor,20,
Cole Kmet,60,
Luke Musgrave,40,
Noah Fant,50,
Elijah Arroyo,40,
Austin Hooper,50,
Daniel Bellinger,50,
Jake Tonges,50,
Josh Oliver,50,
Noah Gray,40,
Will Kacmarek,50,
Eli Stowers,70,
Brock Wright,50,
Adam Trautman,50,
Foster Moreau,50,
Quintin Morris,50,
Tip Reiman,50,
Julian Hill,90,
John Bates,50,
Payne Durham,50,
Jack Stoll,50,
Luke Schoonmaker,50,
Drew Sample,50,
Mo Alie-Cox,50,
Durham Smythe,50,
