name,vlahakis,williams
Amon-Ra St. Brown,80,
Ja'Marr Chase,30,
Puka Nacua,40,
Jaxon Smith-Njigba,40,
Justin Jefferson,20,
CeeDee Lamb,50,
Chris Olave,50,
George Pickens,60,
A.J. Brown,50,
Drake London,30,
Rashee Rice,70,
Zay Flowers,70,
Nico Collins,50,
Garrett Wilson,50,
Tee Higgins,80,
Malik Nabers,50,
Jaylen Waddle,40,
DeVonta Smith,50,
Terry McLaurin,70,
Davante Adams,50,
DK Metcalf,80,
Mike Evans,60,
Tetairoa McMillan,60,
Rome Odunze,60,
Jameson Williams,40,
Brian Thomas Jr.,30,
Emeka Egbuka,40,
Courtland Sutton,60,
Marvin Harrison Jr.,50,
Jordyn Tyson,20,
Michael Wilson,40,
Carnell Tate,30,
Ladd McConkey,0,
Chris Godwin Jr.,60,
Wan'Dale Robinson,40,
Luther Burden III,40,
Alec Pierce,60,
Quentin Johnston,60,
Michael Pittman,80,
Christian Watson,20,
Parker Washington,60,
Jakobi Meyers,30,
DJ Moore,,
Ricky Pearsall,,
Jayden Reed,,
Xavier Worthy,,
Makai Lemon,,
Jordan Addison,,
Khalil Shakir,,
Jayden Higgins,,
Tre Tucker,50,
Adonai Mitchell,40,
Jalen Coker,30,
Romeo Doubs,40,
Josh Downs,50,
Jerry Jeudy,50,
Cooper Kupp,70,
Darius Slayton,50,
Jalen McMillan,30,
KC Concepcion,40,
Rashid Shaheed,50,
Darnell Mooney,50,
Troy Franklin,50,
Calvin Ridley,70,
Matthew Golden,40,
Jalen Nailor,30,
Jauan Jennings,40,
Rashod Bateman,60,
Germie Bernard,40,
Denzel Boston,50,
Antonio Williams,30,
Devaughn Vele,50,
Ryan Flournoy,40,
Jahan Dotson,70,
Keon Coleman,70,
Jack Bech,70,
Kayshon Boutte,40,
Dontayvion Wicks,50,
Andrei Iosivas,50,
Xavier Legette,60,
Malik Washington,50,
Jalen Tolbert,40,
Tre Harris,60,
Tyquan Thornton,50,
Tutu Atwell,50,
Luke McCaffrey,70,
Isaac TeSlaa,50,
Kendrick Bourne,70,
Devontez Walker,50,
Josh Palmer,50,
Olamide Zaccheaus,50,
Travis Hunter,20,
Nick Westbrook-Ikhine,50,
Tank Dell,50,
Christian Kirk,50,
Jordan Whittington,50,
Scott Miller,50,
Kalif Raymond,50,
Nikko Remigio,50,
Dyami Brown,50,
Tyrell Shavers,50,
Xavier Smith,50,
Isaiah Hodgins,50,
Kyle Williams,10,
Dylan Drummond,50,
Kameron Johnson,50,
John Metchie III,40,
Darius Cooper,50,
Charlie Jones,50,
Lil'Jordan Humphrey,50,
Kaden Wetjen,50,
LaJohntay Wester,50,
Barion Brown,50,
Jonathan Mingo,50,
Justin Watson,50,
Reggie Virgil,50,
Myles Price,50,
Bryce Oliver,50,
Anthony Gould,50,
Derius Davis,50,
Emmanuel Henderson Jr.,50,
Arian Smith,50,
Cedrick Wilson Jr.,50,
Jordan Watkins,50,
Dareke Young,50,
Skyy Moore,50,
Tylan Wallace,50,
